ticket_id,created_date,channel,category,priority,agent,team,first_response_minutes,resolution_hours,status,resolved_date,csat_score,region,country,response_sla_met,resolution_sla_met,month,week,day_of_week,hour_of_day
TKT-000001,2024-10-29 22:00:00,Chat,Account Access,Low,Agent_022,Team_Beta,261.3160766843023,17.25326246777651,Resolved,2024-10-30 15:15:11.744884,2.0,APAC,Australia,False,True,2024-10,2024-10-28/2024-11-03,Tuesday,22
TKT-000002,2024-02-05 20:00:00,Self-Service,Booking Modification,High,Agent_006,Team_Gamma,15.237594559232997,1.9854641284175085,In Progress,,,EMEA,Germany,True,True,2024-02,2024-02-05/2024-02-11,Monday,20
TKT-000003,2024-08-12 14:00:00,Phone,Cancellation Request,Medium,Agent_022,Team_Delta,137.84518536293368,36.311041702237475,Resolved,2024-08-14 02:18:39.750128,1.0,APAC,Japan,False,False,2024-08,2024-08-12/2024-08-18,Monday,14
TKT-000004,2024-08-04 07:00:00,Email,Payment Issue,High,Agent_002,Team_Alpha,59.04461944367535,4.317231379816654,Resolved,2024-08-04 11:19:02.032967,4.0,APAC,India,False,True,2024-08,2024-07-29/2024-08-04,Sunday,7
TKT-000005,2024-08-26 22:00:00,Chat,Cancellation Request,Medium,Agent_016,Team_Alpha,1.0,40.95273408634354,Resolved,2024-08-28 14:57:09.842711,4.0,APAC,Japan,True,False,2024-08,2024-08-26/2024-09-01,Monday,22
TKT-000006,2024-09-18 01:00:00,Chat,Booking Modification,Low,Agent_020,Team_Alpha,15.369218458880065,240.84999831852716,Resolved,2024-09-28 01:50:59.993947,5.0,Americas,Canada,True,False,2024-09,2024-09-16/2024-09-22,Wednesday,1
TKT-000007,2024-01-20 10:00:00,Social Media,Payment Issue,Medium,Agent_001,Team_Gamma,35.626127086049095,140.2413309803221,In Progress,,,APAC,India,False,False,2024-01,2024-01-15/2024-01-21,Saturday,10
TKT-000008,2024-07-03 10:00:00,Chat,Refund Request,Low,Agent_016,Team_Alpha,374.4272953078356,78.24555809563824,Resolved,2024-07-06 16:14:44.009144,5.0,Americas,Brazil,False,False,2024-07,2024-07-01/2024-07-07,Wednesday,10
TKT-000009,2024-08-20 10:00:00,Phone,Property Question,High,Agent_001,Team_Gamma,77.33570202067068,2.8220689539031816,Resolved,2024-08-20 12:49:19.448234,5.0,Americas,Brazil,False,True,2024-08,2024-08-19/2024-08-25,Tuesday,10
TKT-000010,2024-12-12 18:00:00,Email,Cancellation Request,Low,Agent_001,Team_Delta,100.55521306953445,3.251174441432224,Resolved,2024-12-12 21:15:04.227989,2.0,APAC,Australia,False,True,2024-12,2024-12-09/2024-12-15,Thursday,18
TKT-000011,2024-03-11 05:00:00,Chat,Payment Issue,Low,Agent_007,Team_Alpha,22.910424741824322,96.44874292472873,Resolved,2024-03-15 05:26:55.474529,5.0,Americas,USA,True,False,2024-03,2024-03-11/2024-03-17,Monday,5
TKT-000012,2024-02-02 01:00:00,Chat,Payment Issue,High,Agent_016,Team_Alpha,2.669864570103011,34.33702401103262,In Progress,,,APAC,Thailand,True,False,2024-02,2024-01-29/2024-02-04,Friday,1
TKT-000013,2024-10-16 13:00:00,Email,Cancellation Request,Critical,Agent_017,Team_Gamma,7.216604678319213,0.5,Resolved,2024-10-16 13:30:00.000000,4.0,APAC,Japan,True,True,2024-10,2024-10-14/2024-10-20,Wednesday,13
TKT-000014,2024-04-11 09:00:00,Self-Service,Refund Request,Low,Agent_016,Team_Gamma,107.56024415687116,0.5,Resolved,2024-04-11 09:30:00.000000,4.0,APAC,Thailand,False,True,2024-04,2024-04-08/2024-04-14,Thursday,9
TKT-000015,2024-08-09 07:00:00,Email,General Inquiry,High,Agent_016,Team_Delta,11.936800985421213,10.694760137501751,Resolved,2024-08-09 17:41:41.136495,4.0,APAC,Australia,True,True,2024-08,2024-08-05/2024-08-11,Friday,7
TKT-000016,2024-07-29 11:00:00,Email,Cancellation Request,Low,Agent_006,Team_Gamma,75.23031820216036,5.177934177743021,Resolved,2024-07-29 16:10:40.563040,3.0,APAC,Australia,False,True,2024-07,2024-07-29/2024-08-04,Monday,11
TKT-000017,2024-09-24 12:00:00,Chat,Cancellation Request,High,Agent_018,Team_Delta,19.37210778586493,0.5108836559524192,Resolved,2024-09-24 12:30:39.181161,3.0,APAC,Japan,True,True,2024-09,2024-09-23/2024-09-29,Tuesday,12
TKT-000018,2024-02-19 08:00:00,Email,Refund Request,Medium,Agent_022,Team_Delta,87.85394264181899,86.820720809177,Resolved,2024-02-22 22:49:14.594913,2.0,APAC,Australia,False,False,2024-02,2024-02-19/2024-02-25,Monday,8
TKT-000019,2024-07-08 19:00:00,Email,Cancellation Request,Low,Agent_022,Team_Alpha,43.309167392812405,3.9794085230617275,Resolved,2024-07-08 22:58:45.870683,5.0,EMEA,UK,False,True,2024-07,2024-07-08/2024-07-14,Monday,19
TKT-000020,2024-05-21 01:00:00,Social Media,Property Question,Low,Agent_003,Team_Beta,29.956641197898197,5.810796238017052,Resolved,2024-05-21 06:48:38.866457,4.0,APAC,Japan,True,True,2024-05,2024-05-20/2024-05-26,Tuesday,1
TKT-000021,2024-09-23 12:00:00,Email,Payment Issue,Low,Agent_008,Team_Beta,133.11196092113357,60.69449581906469,In Progress,,,APAC,Thailand,False,False,2024-09,2024-09-23/2024-09-29,Monday,12
TKT-000022,2024-12-27 02:00:00,Email,Technical Issue,Low,Agent_004,Team_Gamma,295.4353217550177,67.86861157744117,Resolved,2024-12-29 21:52:07.001679,5.0,EMEA,UAE,False,False,2024-12,2024-12-23/2024-12-29,Friday,2
TKT-000023,2024-04-16 14:00:00,Chat,Property Question,Low,Agent_023,Team_Gamma,51.35426625939828,24.48542282961891,Resolved,2024-04-17 14:29:07.522187,4.0,EMEA,UAE,False,False,2024-04,2024-04-15/2024-04-21,Tuesday,14
TKT-000024,2024-11-23 01:00:00,Self-Service,Refund Request,Medium,Agent_004,Team_Beta,14.313154773643916,19.646765496148213,Resolved,2024-11-23 20:38:48.355786,3.0,EMEA,UK,True,True,2024-11,2024-11-18/2024-11-24,Saturday,1
TKT-000025,2024-03-26 07:00:00,Chat,Refund Request,Critical,Agent_017,Team_Delta,1.2816575872003477,3.004124523858516,Resolved,2024-03-26 10:00:14.848286,4.0,Americas,Canada,True,True,2024-03,2024-03-25/2024-03-31,Tuesday,7
TKT-000026,2024-04-24 11:00:00,Chat,Payment Issue,Low,Agent_022,Team_Beta,35.24255383236802,50.692108838236365,Resolved,2024-04-26 13:41:31.591818,2.0,EMEA,France,False,False,2024-04,2024-04-22/2024-04-28,Wednesday,11
TKT-000027,2024-01-08 21:00:00,Phone,Technical Issue,Medium,Agent_005,Team_Delta,6.522692168598897,0.5,Resolved,2024-01-08 21:30:00.000000,1.0,EMEA,France,True,True,2024-01,2024-01-08/2024-01-14,Monday,21
TKT-000028,2024-04-23 22:00:00,Email,Refund Request,Medium,Agent_025,Team_Delta,40.87208541130436,4.340447806078342,Resolved,2024-04-24 02:20:25.612102,4.0,APAC,Singapore,False,True,2024-04,2024-04-22/2024-04-28,Tuesday,22
TKT-000029,2024-05-05 05:00:00,Email,Payment Issue,High,Agent_014,Team_Gamma,4.9447806484468,7.841856630042249,Resolved,2024-05-05 12:50:30.683868,2.0,APAC,Japan,True,True,2024-05,2024-04-29/2024-05-05,Sunday,5
TKT-000030,2024-07-13 02:00:00,Email,Booking Modification,Medium,Agent_015,Team_Gamma,42.94653479826259,37.87781155940391,Resolved,2024-07-14 15:52:40.121614,3.0,EMEA,UK,False,False,2024-07,2024-07-08/2024-07-14,Saturday,2
TKT-000031,2024-03-20 03:00:00,Phone,Booking Modification,Medium,Agent_025,Team_Gamma,3.900738820368911,34.56313068874083,Resolved,2024-03-21 13:33:47.270479,3.0,EMEA,UAE,True,False,2024-03,2024-03-18/2024-03-24,Wednesday,3
TKT-000032,2024-11-18 06:00:00,Chat,Cancellation Request,Medium,Agent_012,Team_Beta,5.520776242987923,32.33498897701752,Resolved,2024-11-19 14:20:05.960317,1.0,EMEA,Germany,True,False,2024-11,2024-11-18/2024-11-24,Monday,6
TKT-000033,2024-02-22 19:00:00,Phone,Cancellation Request,Low,Agent_013,Team_Beta,92.18119829029095,70.81077352242114,Resolved,2024-02-25 17:48:38.784681,5.0,EMEA,France,False,False,2024-02,2024-02-19/2024-02-25,Thursday,19
TKT-000034,2024-03-04 16:00:00,Email,Property Question,Low,Agent_024,Team_Beta,85.97749864963755,2.1821453245687503,Resolved,2024-03-04 18:10:55.723168,5.0,EMEA,UAE,False,True,2024-03,2024-03-04/2024-03-10,Monday,16
